players,endpoint,latency
0,GAME_LIST,766
0,JOIN,168
0,STATE_GET,151
0,PLAY,178
0,PLAY,174
0,PLAY,147
0,PLAY,149
0,PLAY,147
0,PLAY,149
0,PLAY,171
0,PLAY,146
0,PLAY,147
0,PUSH_MESSAGE,1572771441055
0,PUSH_MESSAGE,1572771441057
0,PUSH_MESSAGE,1572771441058
0,PUSH_MESSAGE,1572771441059
0,PUSH_MESSAGE,1572771441061
0,PUSH_MESSAGE,1572771441073
0,PUSH_MESSAGE,1572771441074
0,PUSH_MESSAGE,1572771441075
0,PUSH_MESSAGE,1572771441137
0,PLAY,148
0,PLAY,155
0,PUSH_MESSAGE,1572771441330
0,PLAY,154
0,PUSH_MESSAGE,1572771441486
0,PLAY,175
0,PUSH_MESSAGE,1572771441662
0,PUSH_MESSAGE,1572771441743
0,PLAY,175
0,PUSH_MESSAGE,1572771441821
0,PUSH_MESSAGE,1572771441919
0,PLAY,147
0,PUSH_MESSAGE,1572771442133
0,PLAY,173
0,PLAY,170
0,PLAY,147
0,PLAY,178
0,PLAY,174
0,PLAY,149
0,PLAY,148
0,PLAY,146
0,PLAY,173
0,PLAY,177
0,PLAY,175
0,PLAY,152
0,PLAY,149
0,PLAY,153
0,PLAY,150
0,PLAY,149
0,PUSH_MESSAGE,1572771444735
0,PUSH_MESSAGE,1572771445069
0,PUSH_MESSAGE,1572771445390
0,PUSH_MESSAGE,1572771445713
0,PLAY,1202
0,PUSH_MESSAGE,1572771444713
0,PUSH_MESSAGE,1572771444841
0,PLAY,155
0,PUSH_MESSAGE,1572771445911
0,PLAY,173
0,PUSH_MESSAGE,1572771446075
0,PLAY,157
0,PUSH_MESSAGE,1572771446240
0,PUSH_MESSAGE,1572771446348
0,PLAY,157
0,PUSH_MESSAGE,1572771446396
0,PLAY,179
0,PUSH_MESSAGE,1572771446555
0,PLAY,175
0,PUSH_MESSAGE,1572771446732
0,PLAY,172
0,PUSH_MESSAGE,1572771446909
0,PLAY,149
0,PLAY,171
0,PUSH_MESSAGE,1572771447231
0,PUSH_MESSAGE,1572771447279
0,PLAY,147
0,PLAY,176
